Price,Close,High,Low,Open,Volume
Ticker,AAL.L,AAL.L,AAL.L,AAL.L,AAL.L
Date,,,,,
2000-01-04,519.7745971679688,529.5203538256152,517.1757557953813,519.7745971679688,5032371
2000-01-05,524.32275390625,524.32275390625,507.4300792950557,507.9498128480934,6264438
2000-01-06,537.1871948242188,540.6956866596112,519.7747270534419,519.7747270534419,5143027
2000-01-07,556.1588745117188,558.7577160435555,540.565651302784,540.565651302784,9462166
2000-01-10,562.0064086914062,568.5036003186913,558.7577838747745,559.1476420551617,15028028
2000-01-11,549.1419067382812,560.966713080966,549.011915366895,558.7576718509325,8028577
2000-01-12,542.90478515625,549.0121196512098,533.8087501206938,549.0121196512098,9963096
2000-01-13,552.390380859375,564.6051012750578,539.2660690313427,539.2660690313427,23370670
2000-01-14,553.4298706054688,555.5089779921409,549.0117891610228,554.8593113143871,7539319
2000-01-17,556.8085327148438,557.4581995155228,550.3113426543742,551.4912419751431,10585244
2000-01-18,534.1984252929688,552.3905491108446,532.769042064208,550.3114409593767,15224650
2000-01-19,538.3565063476562,541.215272395008,529.5203414761933,530.1700663056793,13320277
2000-01-20,530.0402221679688,537.3170130737113,526.2718063337853,537.3170130737113,10306021
2000-01-21,520.6842651367188,527.4413225511641,519.7746155185288,523.5429733457008,9989191
2000-01-24,506.7803039550781,534.7181838799188,506.78030395507807,518.6051692064875,3630596
2000-01-25,496.9045715332031,502.8819710413013,495.7350551051087,502.23224613746805,16290973
2000-01-26,484.16998291015625,493.78580446799737,481.4411216524252,493.78580446799737,10277468
2000-01-27,478.4525146484375,493.26607796976776,476.6332735706441,484.04008423429167,7649800
2000-01-28,456.6217956542969,474.4240515247029,455.06245089686075,471.69524895438957,10025043
2000-01-31,452.4638366699219,456.8819778057835,448.0457535400358,448.3056493132608,10951558
2000-02-01,467.92724609375,480.2719061418632,454.15320252408725,466.49786257220046,2517933
2000-02-02,468.0570068359375,480.79149141913507,467.6672067498516,474.29433026699894,7077283
2000-02-03,460.1304016113281,467.7970784992158,458.7010477197042,467.7970784992158,5688162
2000-02-04,459.8704833984375,468.5767131439105,457.401546947651,462.5993155290376,14082497
2000-02-07,472.2153625488281,485.3396809207694,469.09672871953126,472.99505000914536,9732744
2000-02-08,474.1644287109375,480.79155307797674,464.39268455566446,472.21525401264154,7531713
2000-02-09,473.2548522949219,478.84248115181765,469.0966647551906,474.29443543359093,5537382
2000-02-10,463.2492370605469,468.4469498444742,454.80287040306973,466.36787053150124,2661867
2000-02-11,451.1642761230469,469.0965290195001,442.4581033902465,467.7970794751557,15333434
2000-02-14,440.1192626953125,447.0063130224685,439.20964187744596,445.7068629977995,7578228
2000-02-15,437.5202941894531,445.0570683497038,435.31125269554616,438.55987724892327,6117184
2000-02-16,438.559814453125,447.1360834358803,437.13046045848466,438.68977681844336,3140841
2000-02-17,464.8084411621094,467.797111512223,441.02872169351446,443.4457142531918,10033703
2000-02-18,447.52606201171875,464.54867230090747,445.0571532847626,464.54867230090747,2759680
2000-02-21,430.7632141113281,450.51465182707216,430.7632141113281,440.5089706007257,8191614
2000-02-22,406.7236328125,429.72366600418076,403.4750086013483,429.4637702666919,10154978
2000-02-23,427.7744140625,441.2885839244696,406.72355920711567,406.72355920711567,7158933
2000-02-24,421.14739990234375,428.814077691257,420.6275794204257,428.814077691257,4363664
2000-02-25,394.2490234375,421.927035519896,389.8309408144113,421.927035519896,9477130
2000-02-28,381.38458251953125,395.15862002774224,378.1359876731426,395.15862002774224,3487116
2000-02-29,375.4072570800781,379.1756150717115,352.537126362349,376.70670687194405,8971445
